artists,name,year,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,duration_ms,genres
Chuck Berry,Johnny B. Goode,1959,74,0.741,0.534,0.8029999999999999,6.07e-05,0.307,-9.129,0.0743,0.9690000000000001,167.983,161560,blues rock classic rock rock rock-and-roll rockabilly soul
Elvis Presley,Jailhouse Rock,1958,73,0.41,0.647,0.5820000000000001,1.93e-06,0.0715,-9.538,0.0755,0.915,167.396,146480,rock-and-roll rockabilly
Ella Fitzgerald Louis Armstrong,Dream A Little Dream Of Me - Single Version,1957,71,0.9129999999999999,0.44299999999999995,0.10400000000000001,0.0,0.191,-17.042,0.10099999999999999,0.39399999999999996,76.497,185160,adult standards jazz blues swing vocal jazz
Elvis Presley,Hound Dog,1958,69,0.733,0.35700000000000004,0.7559999999999999,0.00505,0.76,-8.492,0.0621,0.95,174.797,136027,rock-and-roll rockabilly
Frank Sinatra,Come Fly With Me - Remastered,1958,69,0.845,0.574,0.33799999999999997,0.0,0.165,-11.376,0.042,0.493,67.008,199093,adult standards easy listening lounge
Nina Simone,My Baby Just Cares for Me - 2013 Remastered Version,1958,67,0.8290000000000001,0.746,0.243,1.02e-06,0.0905,-15.134,0.12300000000000001,0.425,118.57799999999999,215747,jazz blues soul soul jazz torch song vocal jazz
Ray Charles,I've Got a Woman,1957,67,0.833,0.556,0.61,2.22e-06,0.258,-4.729,0.213,0.665,199.373,171467,adult standards classic soul jazz blues piano blues soul soul blues vocal jazz
Frank Sinatra,I've Got You Under My Skin - Remastered 1998,1956,67,0.452,0.585,0.247,8.85e-06,0.107,-12.612,0.04,0.591,127.15,223760,adult standards easy listening lounge
Marty Robbins,Big Iron,1959,67,0.8029999999999999,0.726,0.474,0.0,0.258,-7.834,0.0491,0.57,116.027,235733,cowboy western nashville sound
Bobby Darin,Beyond the Sea,1959,66,0.723,0.521,0.516,0.0,0.257,-7.456,0.0369,0.569,136.483,172480,adult standards brill building pop easy listening lounge rock-and-roll rockabilly soul swing vocal jazz
Louis Armstrong Ella Fitzgerald,Summertime,1958,66,0.9159999999999999,0.172,0.0696,0.00199,0.13699999999999998,-21.295,0.0339,0.10300000000000001,167.97400000000005,298133,adult standards dixieland harlem renaissance jazz trumpet new orleans jazz swing vocal jazz
Frank Sinatra,You Make Me Feel So Young - Remastered 1998,1956,65,0.38299999999999995,0.5770000000000001,0.306,0.0,0.18,-11.559000000000001,0.0427,0.568,125.166,177400,adult standards easy listening lounge
Miles Davis,Blue in Green,1959,65,0.81,0.42100000000000004,0.0161,0.0021,0.0978,-25.358,0.0374,0.16,110.926,337733,bebop contemporary post-bop cool jazz hard bop jazz jazz fusion jazz trumpet
The Dave Brubeck Quartet,Take Five,1959,65,0.539,0.45399999999999996,0.26,0.00078,0.0675,-13.193,0.0401,0.598,174.322,324133,bebop contemporary post-bop cool jazz jazz jazz quartet
Little Richard,Tutti Frutti,1957,64,0.7929999999999999,0.555,0.6579999999999999,0.0,0.11800000000000001,-3.866,0.0541,0.937,184.835,144227,hollywood novelty
Nat King Cole,Unforgettable,1954,64,0.92,0.349,0.182,0.0152,0.14300000000000002,-13.507,0.031,0.17800000000000002,136.094,191973,adult standards vocal jazz
Ritchie Valens,La Bamba - Single Version,1959,64,0.787,0.516,0.809,0.000331,0.303,-6.419,0.0545,0.9390000000000001,75.09899999999998,126960,adult standards brill building pop rock-and-roll rockabilly
Buddy Holly,Everyday,1958,64,0.584,0.747,0.21899999999999997,2.57e-05,0.107,-12.562000000000001,0.0371,0.498,135.562,129120,adult standards brill building pop folk rock lounge rock-and-roll rockabilly
Dean Martin,Volare (Nel Blu Di Pinto Di Blu) - Remastered,1958,64,0.88,0.612,0.14400000000000002,0.0,0.203,-12.204,0.0352,0.34299999999999997,128.629,181627,adult standards easy listening lounge vocal jazz
Bobby Day,Rockin' Robin,1958,63,0.298,0.541,0.608,0.0,0.23399999999999999,-13.083,0.106,0.938,171.99200000000005,160080,doo-wop rhythm and blues rock-and-roll rockabilly
Billie Holiday,I'll Be Seeing You,1957,63,0.9890000000000001,0.355,0.0304,0.0555,0.11599999999999999,-20.479,0.0361,0.188,90.495,211533,adult standards harlem renaissance jazz blues lounge soul torch song vocal jazz
Chet Baker,I Fall In Love Too Easily - Vocal Version,1956,63,0.94,0.532,0.0657,0.00488,0.0946,-19.136,0.0406,0.292,128.607,201440,adult standards bebop cool jazz jazz jazz trumpet vocal jazz
Harry Belafonte,Banana Boat (Day-O),1956,63,0.885,0.797,0.105,0.00011599999999999999,0.10800000000000001,-16.881,0.0969,0.419,122.545,183133,adult standards brill building pop calypso lounge
Little Richard,Long Tall Sally (The Thing),1957,62,0.755,0.474,0.608,0.0,0.0928,-5.138999999999999,0.0825,0.888,184.69400000000002,127427,hollywood novelty
Buddy Holly,Peggy Sue,1958,62,0.9470000000000001,0.6759999999999999,0.424,0.0004940000000000001,0.11900000000000001,-8.132,0.0329,0.493,148.373,150960,adult standards brill building pop folk rock lounge rock-and-roll rockabilly
Billie Holiday,Strange Fruit,1957,62,0.9890000000000001,0.313,0.0437,0.14800000000000002,0.209,-22.627,0.0315,0.0625,100.82700000000001,192867,adult standards harlem renaissance jazz blues lounge soul torch song vocal jazz
The Platters,Smoke Gets In Your Eyes,1959,62,0.92,0.203,0.295,2.05e-06,0.17300000000000001,-11.155,0.0323,0.285,171.222,160933,adult standards brill building pop doo-wop lounge rock-and-roll rockabilly
Ray Charles,"What'd I Say, Pt. 1 & 2",1959,62,0.8079999999999999,0.54,0.6809999999999999,0.0,0.162,-5.44,0.0508,0.794,88.385,307053,adult standards classic soul jazz blues piano blues soul soul blues vocal jazz
Miles Davis,So What,1959,62,0.705,0.517,0.151,0.0013599999999999999,0.11599999999999999,-17.266,0.0373,0.21,136.356,562640,bebop contemporary post-bop cool jazz hard bop jazz jazz fusion jazz trumpet
Ray Charles,"Hallelujah, I Love Her So",1957,62,0.792,0.696,0.547,0.0,0.155,-5.954,0.16899999999999998,0.623,73.203,155507,adult standards classic soul jazz blues piano blues soul soul blues vocal jazz
Bobby Darin,Mack the Knife,1959,62,0.76,0.5489999999999999,0.529,0.0,0.20600000000000002,-12.290999999999999,0.10800000000000001,0.46399999999999997,82.755,184333,adult standards brill building pop easy listening lounge rock-and-roll rockabilly soul swing vocal jazz
Marty Robbins,El Paso,1959,62,0.835,0.654,0.452,2.8899999999999998e-05,0.16,-9.709,0.03,0.691,106.662,259307,cowboy western nashville sound
Elvis Presley,Heartbreak Hotel,1958,62,0.84,0.696,0.21,1.62e-06,0.107,-11.922,0.067,0.7170000000000001,93.54299999999999,127560,rock-and-roll rockabilly
